Latitude	Longitude	Vn	Ve	Sn	Se	Corr	Sta	Vu	Su
 39.109302	-122.303869	  7.61	 -9.38	  0.05	  0.10	 -0.0303	208P	 -0.09	  0.22
 37.749435	-121.977956	 16.14	-14.25	  0.06	  0.10	 -0.0089	229P	  0.49	  0.12
 37.919405	-122.152552	 17.48	-14.38	  0.26	  0.06	  0.0501	BRIB	  0.76	  0.24
 37.724116	-122.119310	 19.69	-15.63	  0.18	  0.33	 -0.0258	CHAB	  0.16	  0.32
 39.432639	-121.664962	  7.87	 -9.55	  0.07	  0.08	 -0.0085	CHO1	  0.17	  0.22
 38.034177	-120.386040	  8.58	 -9.88	  0.09	  0.23	 -0.1461	CMBB	  1.45	  0.30
 37.896405	-121.278495	  8.52	-12.01	  0.13	  0.76	 -0.0013	CNDR	 -3.84	  2.95
 37.878576	-121.915628	 12.07	-11.56	  0.09	  0.09	 -0.0010	DIAB	  0.72	  0.16
 37.727624	-121.855136	  6.70	 15.78	  6.26	  5.85	  0.0191	DUBP	-40.49	 23.00
 37.815008	-122.283805	 24.51	-18.28	  0.14	  0.19	  0.0003	EBMD	  0.04	  0.22
 37.697208	-123.000767	 37.95	-26.99	  0.08	  0.09	 -0.0335	FARB	 -0.13	  0.17
 38.995184	-123.074727	 22.16	-17.70	  0.14	  0.19	  0.0026	HOPB	  1.24	  0.24
 38.846512	-121.350235	  7.71	-10.05	  0.12	  0.12	 -0.0051	LNC1	  0.70	  0.16
 37.286851	-121.865225	 24.76	-19.46	  0.26	  0.04	 -0.0339	LUTZ	 -0.69	  0.16
 37.341533	-121.642578	 12.28	-11.66	  0.04	  0.25	  0.0021	MHCB	  0.97	  0.14
 37.842323	-122.494333	 44.87	-10.70	  0.97	  1.02	  0.0135	MHDL	 -4.11	  3.15
 37.449041	-121.834081	 20.87	-13.35	  7.17	  6.90	 -0.0117	MILP	  1.25	 27.14
 37.946574	-122.419923	 23.06	-18.22	  0.74	  0.90	  0.0071	MOLA	 -1.05	  2.24
 37.485326	-121.866865	 17.23	-15.53	  0.04	  0.18	 -0.0084	MONB	  0.20	  0.14
 37.169941	-119.309350	  9.13	 -9.81	  0.10	  0.09	 -0.0305	MUSB	  1.85	  0.19
 38.006251	-122.272988	 18.28	-13.82	  0.30	  0.14	 -0.0297	OHLN	  0.62	  0.19
 37.499363	-122.424316	 32.80	-24.22	  0.13	  0.09	  0.0331	OXMT	 -2.77	  0.42
 38.928346	-123.726197	 36.89	-23.66	  0.17	  0.19	 -0.0080	P059	  5.38	  0.58
 36.485524	-121.792518	 36.52	-28.52	  0.15	  0.11	 -0.0075	P171	 -0.01	  0.13
 37.471773	-122.357140	 31.71	-24.00	  0.09	  0.10	 -0.0169	P176	  1.01	  0.50
 37.528168	-122.495052	 33.48	-24.86	  0.22	  0.19	  0.0135	P177	  0.47	  0.37
 37.534519	-122.332364	 28.68	-22.65	  0.08	  0.11	 -0.0671	P178	 -1.22	  0.44
 37.914545	-122.376755	 24.83	-18.47	  0.06	  0.03	 -0.0104	P181	 -0.37	  0.34
 38.495015	-123.181245	 32.78	-20.47	  0.07	  0.11	 -0.0624	P182	 -0.57	  0.15
 38.313663	-123.068887	 34.01	-21.70	  0.05	  0.09	 -0.0167	P183	 -0.84	  0.27
 39.117165	-123.708937	 30.82	-22.84	  0.09	  0.18	 -0.0166	P184	  0.52	  0.15
 39.261304	-123.749335	 29.25	-21.16	  0.24	  0.21	 -0.0113	P185	 12.19	  0.27
 39.150179	-123.518152	 26.54	-20.36	  0.22	  0.11	 -0.0130	P186	  0.02	  0.27
 39.352477	-123.602541	 24.48	-21.23	  0.20	  0.22	  0.0806	P187	  1.16	  0.49
 38.667857	-123.229563	 30.17	-19.15	  0.11	  0.18	 -0.0794	P188	  0.55	  0.34
 38.987449	-123.348428	 27.19	-19.82	  0.07	  0.09	  0.0408	P189	  1.14	  0.20
 39.241955	-123.204047	 18.92	-16.27	  0.09	  0.13	 -0.0079	P190	  1.26	  0.28
 39.319728	-123.105189	 15.94	-14.26	  0.05	  0.08	  0.0163	P192	  0.77	  0.20
 38.122937	-122.908141	 33.59	-22.33	  0.07	  0.13	  0.0265	P193	  0.09	  0.23
 38.185716	-122.816257	 29.07	-18.95	  0.04	  0.08	 -0.0196	P194	  0.26	  0.26
 38.664666	-122.959308	 26.76	-15.77	  0.13	  0.06	 -0.0154	P195	 -0.84	  0.19
 38.298144	-122.742641	 26.35	-16.78	  0.06	  0.08	 -0.0079	P196	 -0.53	  0.16
 38.428561	-122.767386	 26.40	-15.55	  0.41	  0.41	 -0.0012	P197	  0.07	  0.33
 38.259874	-122.607450	 23.57	-15.76	  0.79	  1.35	 -0.0066	P198	 -1.63	  2.05
 38.263692	-122.503438	 20.77	-13.77	  0.07	  0.15	  0.0123	P199	 -1.55	  0.33
 38.239831	-122.451702	 20.04	-14.14	  0.04	  0.09	 -0.0050	P200	 -2.90	  0.21
 38.559806	-122.658434	 19.19	-12.06	  0.07	  0.14	 -0.0052	P201	  0.57	  0.26
 38.423581	-122.496000	 18.25	-12.75	  0.07	  0.12	 -0.0804	P202	  0.06	  0.14
 38.866113	-122.917004	 16.58	-11.23	  0.11	  0.17	 -0.0119	P203	 -1.50	  0.34
 38.666500	-122.710533	 19.77	-11.48	  0.07	  0.13	 -0.0021	P204	 -0.81	  0.18
 39.398124	-122.963064	 13.58	-13.24	  0.19	  0.23	 -0.0409	P205	  1.59	  0.44
 38.777817	-122.575793	 16.15	-11.27	  0.13	  0.10	 -0.0352	P206	 -0.72	  0.16
 39.260045	-122.718567	  8.92	-11.71	  0.30	  0.38	  0.0278	P207	  0.81	  0.71
 37.069255	-122.126714	 34.54	-26.49	  0.20	  0.15	  0.1223	P209	  0.60	  0.31
 36.816137	-121.731841	 33.77	-27.50	  0.13	  0.24	 -0.0030	P210	  0.26	  0.17
 36.879176	-121.698037	 32.88	-26.96	  1.05	  0.17	  0.0508	P211	  1.72	  0.60
 36.962011	-121.862733	 32.61	-26.20	  0.17	  0.23	 -0.0446	P212	  0.96	  0.36
