UNIT_LINK,REF_ID
CAC1;0,CA001
CAC1;0,CA002
CAC1;0,CA016
CAC1;0,CA032
CAC1;0,CA046
CAC1;0,CA067
CAC1;0,CA098
CAC1;0,CA099
CAC1;0,CA107
CAC1;0,CA122
CAC1;0,CA155
CAC1;0,CA156
CAC2;0,CA001
CAC2;0,CA002
CAC2;0,CA006
CAC2;0,CA008
CAC2;0,CA012
CAC2;0,CA025
CAC2;0,CA043
CAC2;0,CA072
CAC2;0,CA074
CAC2;0,CA075
CAC2;0,CA096
CAC2;0,CA182
CAC2;0,CA183
CAC3;0,CA001
CAC3;0,CA002
CAC3;0,CA006
CAC3;0,CA007
CAC3;0,CA011
CAC3;0,CA043
CAC3;0,CA072
CAC3;0,CA074
CAC3;0,CA183
CAC4;0,CA001
CAC4;0,CA002
CAC4;0,CA013
CAC4;0,CA028
CAC4;0,CA034
CAC4;0,CA036
CAC4;0,CA039
CAC4;0,CA150
CAC4;0,CA165
CAC4;0,CA181
CAC5;0,CA001
CAC5;0,CA002
CAC5;0,CA030
CAC5;0,CA179
CAC5;0,CA180
CAC6;0,CA001
CAC6;0,CA002
CAC6;0,CA005
CAC6;0,CA029
CAC6;0,CA030
CAC6;0,CA040
CAC6;0,CA079
CAC6;0,CA114
CAC6;0,CA184
CAC7;0,CA001
CAC7;0,CA002
CAC7;0,CA011
CAC7;0,CA073
CAC8;0,CA001
CAC8;0,CA002
CAC8;0,CA011
CAC8;0,CA073
CAC8;0,CA092
CACA;0,CA001
CACA;0,CA002
CACA;0,CA006
CACA;0,CA007
CACA;0,CA008
CACA;0,CA011
CACA;0,CA012
CACA;0,CA025
CACA;0,CA043
CACA;0,CA057
CACA;0,CA096
CACA;0,CA112
CACA;0,CA166
CACA;0,CA183
CAD1;0,CA001
CAD1;0,CA002
CAD1;0,CA006
CAD1;0,CA008
CAD1;0,CA011
CAD1;0,CA012
CAD1;0,CA043
CAD1;0,CA072
CAD1;0,CA096
CAD1;0,CA182
CAD1;0,CA183
CAD2;0,CA001
CAD2;0,CA002
CAD2;0,CA013
CAD2;0,CA028
CAD2;0,CA034
CAD2;0,CA036
CAD2;0,CA039
CAD2;0,CA101
CAD2;0,CA150
CAD2;0,CA163
CAD2;0,CA165
CAD2;0,CA181
CAEO;0,CA001
CAEO;0,CA002
CAEO;0,CA004
CAEO;0,CA005
CAEO;0,CA009
CAEO;0,CA010
CAEO;0,CA014
CAEO;0,CA015
CAEO;0,CA017
CAEO;0,CA018
CAEO;0,CA019
CAEO;0,CA020
CAEO;0,CA021
