,,,,,,,HD01,SUBHD02010101,SUBHD02010102,SUBHD02010103,SUBHD020102,SUBHD020201,SUBHD020202,SUBHD020203
,,,,,,,Total population,Percent of total population,Percent of total population,Percent of total population,Percent of total population,Percent of total population,Percent of total population,Percent of total population
,,,,,,,,In households,In households,In households,In households,In group quarters,In group quarters,In group quarters
GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,,Family households,Family households,Family households,Nonfamily households [3],Total,Institutionalized population,Noninstitutionalized population
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,,Total,In families [1],Nonrelatives [2],,,,
0400000US06,06,California,0400000US06,06,California,California,37253956,83.4,79.9,3.5,14.4,2.2,1.1,1.1
0400000US06,06,California,8710000US0689010,0689010,"California - ZCTA5 89010 (part), California","ZCTA5 89010 (part), California",31,100.0,100.0,0.0,0.0,0.0,0.0,0.0
0400000US06,06,California,8710000US0689019,0689019,"California - ZCTA5 89019 (part), California","ZCTA5 89019 (part), California",69,81.2,79.7,1.4,18.8,0.0,0.0,0.0
0400000US06,06,California,8710000US0689060,0689060,"California - ZCTA5 89060 (part), California","ZCTA5 89060 (part), California",30,100.0,100.0,0.0,0.0,0.0,0.0,0.0
0400000US06,06,California,8710000US0689061,0689061,"California - ZCTA5 89061 (part), California","ZCTA5 89061 (part), California",51,80.4,68.6,11.8,19.6,0.0,0.0,0.0
0400000US06,06,California,8710000US0689439,0689439,"California - ZCTA5 89439 (part), California","ZCTA5 89439 (part), California",80,76.3,75.0,1.3,23.8,0.0,0.0,0.0
0400000US06,06,California,8710000US0690001,0690001,"California - ZCTA5 90001, California","ZCTA5 90001, California",57110,95.2,88.9,6.3,4.7,0.1,0.0,0.1
0400000US06,06,California,8710000US0690002,0690002,"California - ZCTA5 90002, California","ZCTA5 90002, California",51223,94.2,87.7,6.6,5.5,0.3,0.0,0.3
0400000US06,06,California,8710000US0690003,0690003,"California - ZCTA5 90003, California","ZCTA5 90003, California",66266,93.9,87.1,6.7,5.7,0.5,0.0,0.4
0400000US06,06,California,8710000US0690004,0690004,"California - ZCTA5 90004, California","ZCTA5 90004, California",62180,78.8,74.4,4.4,20.0,1.2,0.0,1.1
0400000US06,06,California,8710000US0690005,0690005,"California - ZCTA5 90005, California","ZCTA5 90005, California",37681,76.0,71.9,4.1,23.6,0.4,0.0,0.4
0400000US06,06,California,8710000US0690006,0690006,"California - ZCTA5 90006, California","ZCTA5 90006, California",59185,83.8,78.0,5.8,14.7,1.5,0.8,0.7
0400000US06,06,California,8710000US0690007,0690007,"California - ZCTA5 90007, California","ZCTA5 90007, California",40920,57.7,53.7,4.0,29.9,12.4,0.4,12.0
0400000US06,06,California,8710000US0690008,0690008,"California - ZCTA5 90008, California","ZCTA5 90008, California",32327,77.3,73.7,3.6,22.3,0.4,0.0,0.4
0400000US06,06,California,8710000US0690010,0690010,"California - ZCTA5 90010, California","ZCTA5 90010, California",3800,59.8,58.1,1.7,39.5,0.8,0.0,0.8
0400000US06,06,California,8710000US0690011,0690011,"California - ZCTA5 90011, California","ZCTA5 90011, California",103892,94.8,87.0,7.8,4.7,0.4,0.1,0.3
