,,,,,,,HD01,SUBHD02010101,SUBHD02010102,SUBHD02010103,SUBHD020102,SUBHD020201,SUBHD020202,SUBHD020203
,,,,,,,Total population,Percent of total population,Percent of total population,Percent of total population,Percent of total population,Percent of total population,Percent of total population,Percent of total population
,,,,,,,,In households,In households,In households,In households,In group quarters,In group quarters,In group quarters
GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,,Family households,Family households,Family households,Nonfamily households [3],Total,Institutionalized population,Noninstitutionalized population
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,,Total,In families [1],Nonrelatives [2],,,,
0400000US06,06,California,8710000US0690079,0690079,"California - ZCTA5 90079, California","ZCTA5 90079, California",,$(X),$(X),$(X),$(X),$(X),$(X),$(X)
0400000US06,06,California,8710000US0690090,0690090,"California - ZCTA5 90090, California","ZCTA5 90090, California",,$(X),$(X),$(X),$(X),$(X),$(X),$(X)
0400000US06,06,California,8710000US0690506,0690506,"California - ZCTA5 90506, California","ZCTA5 90506, California",,$(X),$(X),$(X),$(X),$(X),$(X),$(X)
0400000US06,06,California,8710000US0690747,0690747,"California - ZCTA5 90747, California","ZCTA5 90747, California",,$(X),$(X),$(X),$(X),$(X),$(X),$(X)
0400000US06,06,California,8710000US0690831,0690831,"California - ZCTA5 90831, California","ZCTA5 90831, California",,$(X),$(X),$(X),$(X),$(X),$(X),$(X)
0400000US06,06,California,8710000US0691608,0691608,"California - ZCTA5 91608, California","ZCTA5 91608, California",,$(X),$(X),$(X),$(X),$(X),$(X),$(X)
0400000US06,06,California,8710000US0692132,0692132,"California - ZCTA5 92132, California","ZCTA5 92132, California",,$(X),$(X),$(X),$(X),$(X),$(X),$(X)
0400000US06,06,California,8710000US0693410,0693410,"California - ZCTA5 93410, California","ZCTA5 93410, California",,$(X),$(X),$(X),$(X),$(X),$(X),$(X)
0400000US06,06,California,8710000US0694850,0694850,"California - ZCTA5 94850, California","ZCTA5 94850, California",,$(X),$(X),$(X),$(X),$(X),$(X),$(X)
0400000US06,06,California,8710000US0695314,0695314,"California - ZCTA5 95314, California","ZCTA5 95314, California",,$(X),$(X),$(X),$(X),$(X),$(X),$(X)
