STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,POPULATION,LATITUDE,LONGITUDE
6,1,400100,1,2937,37.859419,-122.230389
6,1,400200,1,1018,37.849844,-122.248651
6,1,400200,2,956,37.846638,-122.250455
6,1,400300,1,1078,37.843562,-122.248854
6,1,400300,2,1298,37.837847,-122.25459
6,1,400300,3,1091,37.840214,-122.259972
6,1,400300,4,1398,37.840006,-122.254207
6,1,400400,1,1421,37.849953,-122.254862
6,1,400400,2,1172,37.845101,-122.258947
6,1,400400,3,1110,37.850066,-122.258716
6,1,400500,1,2008,37.849532,-122.262905
6,1,400500,2,822,37.846616,-122.267045
6,1,400500,3,687,37.849996,-122.267357
6,1,400600,1,950,37.84336,-122.264514
6,1,400600,2,621,37.840492,-122.265556
6,1,400700,1,1078,37.845349,-122.272545
6,1,400700,2,1178,37.84266,-122.272544
6,1,400700,3,724,37.840439,-122.271707
6,1,400700,4,1226,37.83838,-122.271683
6,1,400800,1,1268,37.848029,-122.284553
6,1,400800,2,1051,37.84537,-122.282446
6,1,400800,3,1275,37.842791,-122.282269
6,1,400900,1,1172,37.840331,-122.279746
6,1,400900,2,1130,37.8382,-122.280908
6,1,401000,1,898,37.835672,-122.270865
6,1,401000,2,824,37.834173,-122.271262
6,1,401000,3,1260,37.832266,-122.272145
6,1,401000,4,710,37.829039,-122.269557
6,1,401000,5,1031,37.82678,-122.273304
6,1,401000,6,955,37.829774,-122.274892
6,1,401100,1,663,37.834521,-122.261382
6,1,401100,2,1321,37.82911,-122.262507
6,1,401100,3,1047,37.825304,-122.264225
6,1,401100,4,1125,37.832601,-122.26488
6,1,401200,1,1064,37.834207,-122.257122
6,1,401200,2,780,37.829652,-122.25794
6,1,401200,3,572,37.82682,-122.259879
6,1,401300,1,1031,37.82068,-122.266572
6,1,401300,2,1458,37.814651,-122.269615
6,1,401300,3,1039,37.814946,-122.266711
6,1,401400,1,1095,37.823826,-122.272891
6,1,401400,2,1694,37.821361,-122.27375
6,1,401400,3,1525,37.815469,-122.273119
6,1,401500,1,1301,37.825377,-122.280503
6,1,401500,2,619,37.822667,-122.280421
6,1,401500,3,710,37.820807,-122.28049
6,1,401600,1,1205,37.817503,-122.279592
6,1,401600,2,958,37.815624,-122.279657
6,1,401700,1,1058,37.824399,-122.286286
6,1,401700,2,1513,37.812012,-122.298625
6,1,401700,3,96,37.822023,-122.300365
6,1,401800,1,912,37.810802,-122.297129
6,1,401800,2,791,37.808199,-122.299635
6,1,402200,1,877,37.809983,-122.293759
6,1,402200,2,842,37.806888,-122.294672
6,1,402200,3,666,37.804258,-122.297713
6,1,402400,1,1368,37.812398,-122.282624
6,1,402400,2,983,37.810057,-122.281585
6,1,402500,1,1055,37.805821,-122.28517
6,1,402500,2,729,37.803773,-122.285203
6,1,402600,1,1151,37.804782,-122.279657
6,1,402700,1,535,37.809154,-122.275681
6,1,402700,2,1034,37.810818,-122.278355
6,1,402800,1,1428,37.807307,-122.274093
6,1,402800,2,1917,37.809676,-122.271678
6,1,402900,1,1434,37.804261,-122.267119
6,1,403000,1,1569,37.800488,-122.27234
6,1,403000,2,1219,37.801173,-122.268501
6,1,403100,1,2238,37.801099,-122.276502
6,1,403300,1,2420,37.793911,-122.268473
6,1,403300,2,1634,37.798101,-122.266899
6,1,403400,1,919,37.804864,-122.262606
6,1,403400,2,1349,37.803224,-122.265019
6,1,403400,3,884,37.802648,-122.262659
6,1,403400,4,994,37.803197,-122.263777
6,1,403501,1,2000,37.814378,-122.262153
6,1,403501,2,1703,37.818813,-122.258509
6,1,403501,3,671,37.822277,-122.256557
6,1,403502,1,852,37.81453,-122.258601
6,1,403502,2,1139,37.817161,-122.255353
6,1,403600,1,1070,37.813585,-122.251993
6,1,403600,2,1514,37.814426,-122.254187
6,1,403600,3,1898,37.812526,-122.255251
6,1,403701,1,1231,37.812272,-122.258637
6,1,403701,2,1356,37.810561,-122.258024
6,1,403702,1,545,37.809792,-122.251131
6,1,403702,2,1179,37.809191,-122.254509
6,1,403800,1,614,37.815833,-122.236203
6,1,403800,2,804,37.813483,-122.242358
6,1,403800,3,809,37.812046,-122.245256
6,1,403800,4,1234,37.81604,-122.243216
6,1,403900,1,1331,37.819669,-122.248993
6,1,403900,2,692,37.816741,-122.24763
6,1,403900,3,1561,37.815685,-122.249906
6,1,404000,1,1667,37.821473,-122.251283
6,1,404000,2,1152,37.823872,-122.254335
6,1,404101,1,1149,37.830142,-122.247696
6,1,404101,2,1780,37.830481,-122.25251
6,1,404102,1,1359,37.825157,-122.249701
6,1,404102,2,924,37.826825,-122.253019
6,1,404200,1,993,37.840465,-122.22893
6,1,404200,2,1244,37.837868,-122.228196
6,1,404200,3,1246,37.835001,-122.231783
6,1,404300,1,1195,37.846885,-122.23538
6,1,404300,2,875,37.844618,-122.24149
6,1,404300,3,1148,37.840584,-122.244212
6,1,404400,1,2376,37.848977,-122.220011
6,1,404400,2,1232,37.837294,-122.217017
6,1,404400,3,1706,37.844041,-122.209059
6,1,404501,1,1677,37.826215,-122.215638
6,1,404502,1,903,37.840543,-122.203877
6,1,404502,2,1337,37.835092,-122.20657
6,1,404502,3,1664,37.83668,-122.195213
6,1,404502,4,1880,37.829621,-122.205164
6,1,404600,1,1102,37.830631,-122.192909
6,1,404600,2,737,37.829316,-122.190408
6,1,404600,3,1127,37.823496,-122.192022
6,1,404600,4,1387,37.816987,-122.194417
6,1,404700,1,870,37.811924,-122.210056
6,1,404700,2,1084,37.81234,-122.205427
6,1,404800,1,1374,37.80343,-122.21226
6,1,404800,2,1310,37.806039,-122.214333
6,1,404900,1,850,37.807407,-122.217502
6,1,404900,2,1076,37.80214,-122.219245
6,1,404900,3,1026,37.801923,-122.225194
6,1,404900,4,1177,37.804842,-122.223318
6,1,405000,1,704,37.810435,-122.219168
6,1,405000,2,1168,37.809427,-122.223365
6,1,405000,3,1264,37.805924,-122.231515
6,1,405100,1,1012,37.81105,-122.226199
6,1,405100,2,693,37.809721,-122.231877
6,1,405100,3,883,37.809743,-122.237632
6,1,405100,4,615,37.813127,-122.237432
6,1,405100,5,994,37.813736,-122.23127
6,1,405200,1,1243,37.804369,-122.239658
6,1,405200,2,1027,37.802702,-122.24677
6,1,405200,3,1045,37.805793,-122.244955
6,1,405200,4,1282,37.807241,-122.247747
6,1,405301,1,1778,37.802666,-122.250671
6,1,405301,2,825,37.801237,-122.252877
6,1,405302,1,1337,37.79895,-122.256121
6,1,405302,2,1193,37.797722,-122.252745
6,1,405401,1,1547,37.797759,-122.247894
6,1,405401,2,1385,37.796202,-122.249384
6,1,405401,3,1025,37.79501,-122.251209
6,1,405402,1,2037,37.792717,-122.246611
6,1,405402,2,1077,37.794671,-122.244229
6,1,405500,1,649,37.795949,-122.240585
6,1,405500,2,1038,37.797313,-122.242213
6,1,405500,3,872,37.798709,-122.244064
6,1,405500,4,1084,37.800582,-122.245186
6,1,405600,1,690,37.802378,-122.234435
6,1,405600,2,1135,37.799393,-122.23708
6,1,405600,3,1312,37.801125,-122.24011
6,1,405700,1,1252,37.799934,-122.229603
6,1,405700,2,1059,37.796216,-122.227577
6,1,405700,3,932,37.797236,-122.231215
6,1,405800,1,1201,37.791878,-122.23035
6,1,405800,2,970,37.793515,-122.232627
6,1,405800,3,1032,37.794798,-122.23473
6,1,405800,4,762,37.796394,-122.236488
6,1,405901,1,1407,37.785853,-122.237702
6,1,405901,2,1538,37.789488,-122.234203
6,1,405901,3,965,37.787683,-122.236513
6,1,405902,1,1372,37.792804,-122.239152
6,1,405902,2,1663,37.789493,-122.242549
6,1,406000,1,870,37.785717,-122.245087
6,1,406000,2,729,37.791665,-122.252357
6,1,406000,3,1851,37.795334,-122.255716
6,1,406100,1,1015,37.774646,-122.222042
6,1,406100,2,867,37.77251,-122.224252
6,1,406100,3,1057,37.772609,-122.232727
6,1,406100,4,1442,37.778748,-122.2342
6,1,406201,1,1298,37.786907,-122.228809
6,1,406201,2,808,37.785665,-122.231695
6,1,406201,3,1480,37.784163,-122.230023
