,,,,,,,HD01,SUBHD0201,SUBHD0202,SUBHD0203
GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,Total population,Housing units,Housing units,Housing units
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,,Total,Occupied,Vacant
0400000US06,06,California,0400000US06,06,California,California,37253956,13680081,12577498,1102583
0400000US06,06,California,1600000US0600135,0600135,California - Acalanes Ridge CDP,Acalanes Ridge CDP,1137,457,441,16
0400000US06,06,California,1600000US0600156,0600156,California - Acampo CDP,Acampo CDP,341,99,94,5
0400000US06,06,California,1600000US0600212,0600212,California - Acton CDP,Acton CDP,7596,2814,2660,154
0400000US06,06,California,1600000US0600296,0600296,California - Adelanto city,Adelanto city,31765,9086,7809,1277
0400000US06,06,California,1600000US0600310,0600310,California - Adin CDP,Adin CDP,272,144,124,20
0400000US06,06,California,1600000US0600394,0600394,California - Agoura Hills city,Agoura Hills city,20330,7585,7327,258
0400000US06,06,California,1600000US0600450,0600450,California - Agua Dulce CDP,Agua Dulce CDP,3342,1277,1201,76
0400000US06,06,California,1600000US0600464,0600464,California - Aguanga CDP,Aguanga CDP,1128,984,470,514
0400000US06,06,California,1600000US0600478,0600478,California - Ahwahnee CDP,Ahwahnee CDP,2246,1030,898,132
0400000US06,06,California,1600000US0600535,0600535,California - Airport CDP,Airport CDP,1964,588,511,77
0400000US06,06,California,1600000US0600562,0600562,California - Alameda city,Alameda city,73812,32351,30123,2228
0400000US06,06,California,1600000US0600618,0600618,California - Alamo CDP,Alamo CDP,14570,5378,5152,226
0400000US06,06,California,1600000US0600674,0600674,California - Albany city,Albany city,18539,7889,7401,488
0400000US06,06,California,1600000US0600716,0600716,California - Albion CDP,Albion CDP,168,112,82,30
0400000US06,06,California,1600000US0600786,0600786,California - Alderpoint CDP,Alderpoint CDP,186,93,80,13
0400000US06,06,California,1600000US0600884,0600884,California - Alhambra city,Alhambra city,83089,30915,29217,1698
0400000US06,06,California,1600000US0600898,0600898,California - Alhambra Valley CDP,Alhambra Valley CDP,924,375,360,15
0400000US06,06,California,1600000US0600947,0600947,California - Aliso Viejo city,Aliso Viejo city,47823,18867,18204,663
0400000US06,06,California,1600000US0600982,0600982,California - Alleghany CDP,Alleghany CDP,58,40,27,13
0400000US06,06,California,1600000US0600996,0600996,California - Allendale CDP,Allendale CDP,1506,554,528,26
0400000US06,06,California,1600000US0601010,0601010,California - Allensworth CDP,Allensworth CDP,471,142,115,27
0400000US06,06,California,1600000US0601094,0601094,California - Almanor CDP,Almanor CDP,0,75,0,75
0400000US06,06,California,1600000US0601150,0601150,California - Alondra Park CDP,Alondra Park CDP,8592,2818,2719,99
0400000US06,06,California,1600000US0601164,0601164,California - Alpaugh CDP,Alpaugh CDP,1026,243,226,17
0400000US06,06,California,1600000US0601192,0601192,California - Alpine CDP,Alpine CDP,14236,5536,5248,288
0400000US06,06,California,1600000US0601228,0601228,California - Alpine Village CDP,Alpine Village CDP,114,69,52,17
0400000US06,06,California,1600000US0601276,0601276,California - Alta CDP,Alta CDP,610,314,242,72
0400000US06,06,California,1600000US0601290,0601290,California - Altadena CDP,Altadena CDP,42777,15947,15212,735
0400000US06,06,California,1600000US0601360,0601360,California - Alta Sierra CDP,Alta Sierra CDP,6911,3030,2830,200
0400000US06,06,California,1600000US0601416,0601416,California - Alto CDP,Alto CDP,711,313,297,16
0400000US06,06,California,1600000US0601444,0601444,California - Alturas city,Alturas city,2827,1407,1238,169
0400000US06,06,California,1600000US0601458,0601458,California - Alum Rock CDP,Alum Rock CDP,15536,3863,3686,177
0400000US06,06,California,1600000US0601514,0601514,California - Amador City city,Amador City city,185,108,85,23
0400000US06,06,California,1600000US0601640,0601640,California - American Canyon city,American Canyon city,19454,5982,5657,325
0400000US06,06,California,1600000US0601651,0601651,California - Amesti CDP,Amesti CDP,3478,1015,982,33
0400000US06,06,California,1600000US0602000,0602000,California - Anaheim city,Anaheim city,336265,104237,98294,5943
0400000US06,06,California,1600000US0602028,0602028,California - Anchor Bay CDP,Anchor Bay CDP,340,327,174,153
0400000US06,06,California,1600000US0602042,0602042,California - Anderson city,Anderson city,9932,4211,3944,267
0400000US06,06,California,1600000US0602112,0602112,California - Angels city,Angels city,3836,1943,1645,298
0400000US06,06,California,1600000US0602168,0602168,California - Angwin CDP,Angwin CDP,3051,912,824,88
0400000US06,06,California,1600000US0602210,0602210,California - Antelope CDP,Antelope CDP,45770,14847,14159,688
0400000US06,06,California,1600000US0602252,0602252,California - Antioch city,Antioch city,102372,34849,32252,2597
0400000US06,06,California,1600000US0602294,0602294,California - Anza CDP,Anza CDP,3014,1508,1160,348
0400000US06,06,California,1600000US0602364,0602364,California - Apple Valley town,Apple Valley town,69135,26117,23598,2519
0400000US06,06,California,1600000US0602378,0602378,California - Aptos CDP,Aptos CDP,6220,2711,2549,162
0400000US06,06,California,1600000US0602382,0602382,California - Aptos Hills-Larkin Valley CDP,Aptos Hills-Larkin Valley CDP,2381,921,872,49
0400000US06,06,California,1600000US0602420,0602420,California - Arbuckle CDP,Arbuckle CDP,3028,937,868,69
0400000US06,06,California,1600000US0602462,0602462,California - Arcadia city,Arcadia city,56364,20686,19592,1094
0400000US06,06,California,1600000US0602476,0602476,California - Arcata city,Arcata city,17231,7722,7381,341
0400000US06,06,California,1600000US0602553,0602553,California - Arden-Arcade CDP,Arden-Arcade CDP,92186,44813,40518,4295
0400000US06,06,California,1600000US0602700,0602700,California - Armona CDP,Armona CDP,4156,1202,1152,50
0400000US06,06,California,1600000US0602770,0602770,California - Arnold CDP,Arnold CDP,3843,4897,1761,3136
0400000US06,06,California,1600000US0602812,0602812,California - Aromas CDP,Aromas CDP,2650,923,884,39
0400000US06,06,California,1600000US0602868,0602868,California - Arroyo Grande city,Arroyo Grande city,17252,7628,7087,541
0400000US06,06,California,1600000US0602896,0602896,California - Artesia city,Artesia city,16522,4697,4535,162
0400000US06,06,California,1600000US0602910,0602910,California - Artois CDP,Artois CDP,295,113,101,12
0400000US06,06,California,1600000US0602924,0602924,California - Arvin city,Arvin city,19304,4476,4228,248
0400000US06,06,California,1600000US0602980,0602980,California - Ashland CDP,Ashland CDP,21925,7758,7270,488
0400000US06,06,California,1600000US0603026,0603026,California - Aspen Springs CDP,Aspen Springs CDP,65,36,25,11
0400000US06,06,California,1600000US0603064,0603064,California - Atascadero city,Atascadero city,28310,11505,10737,768
0400000US06,06,California,1600000US0603092,0603092,California - Atherton town,Atherton town,6914,2530,2330,200
0400000US06,06,California,1600000US0603162,0603162,California - Atwater city,Atwater city,28168,9771,8838,933
0400000US06,06,California,1600000US0603190,0603190,California - Auberry CDP,Auberry CDP,2369,949,849,100
0400000US06,06,California,1600000US0603204,0603204,California - Auburn city,Auburn city,13330,6139,5759,380
0400000US06,06,California,1600000US0603205,0603205,California - Auburn Lake Trails CDP,Auburn Lake Trails CDP,3426,1486,1366,120
0400000US06,06,California,1600000US0603209,0603209,California - August CDP,August CDP,8390,2560,2298,262
0400000US06,06,California,1600000US0603274,0603274,California - Avalon city,Avalon city,3728,2266,1473,793
0400000US06,06,California,1600000US0603302,0603302,California - Avenal city,Avenal city,15505,2410,2222,188
0400000US06,06,California,1600000US0603316,0603316,California - Avery CDP,Avery CDP,646,388,281,107
0400000US06,06,California,1600000US0603330,0603330,California - Avilla Beach CDP,Avilla Beach CDP,1627,1093,842,251
0400000US06,06,California,1600000US0603344,0603344,California - Avocado Heights CDP,Avocado Heights CDP,15411,3922,3813,109
