,,,,,,,HD01,HD02,SUBHD0301,SUBHD0302,SUBHD0303,SUBHD0401,SUBHD0402
GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,Population,Housing units,Area in square miles,Area in square miles,Area in square miles,Density per square mile of land area,Density per square mile of land area
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,,,Total area,Water area,Land area,Population,Housing units
0400000US06,06,California,0400000US06,06,California,California,37253956,13680081,163694.74,7915.52,155779.22,239.1,87.8
0400000US06,06,California,8710000US0689010,0689010,"California - ZCTA5 89010 (part), California","ZCTA5 89010 (part), California",31,16,14.76,0.02,14.74,2.1,1.1
0400000US06,06,California,8710000US0689019,0689019,"California - ZCTA5 89019 (part), California","ZCTA5 89019 (part), California",69,41,207.72,0.00,207.72,0.3,0.2
0400000US06,06,California,8710000US0689060,0689060,"California - ZCTA5 89060 (part), California","ZCTA5 89060 (part), California",30,13,8.48,0.00,8.48,3.5,1.5
0400000US06,06,California,8710000US0689061,0689061,"California - ZCTA5 89061 (part), California","ZCTA5 89061 (part), California",51,23,0.72,0.00,0.72,70.7,31.9
0400000US06,06,California,8710000US0689439,0689439,"California - ZCTA5 89439 (part), California","ZCTA5 89439 (part), California",80,44,7.46,0.00,7.46,10.7,5.9
0400000US06,06,California,8710000US0690001,0690001,"California - ZCTA5 90001, California","ZCTA5 90001, California",57110,13788,3.50,0.00,3.50,16305.6,3936.6
0400000US06,06,California,8710000US0690002,0690002,"California - ZCTA5 90002, California","ZCTA5 90002, California",51223,12598,3.06,0.00,3.06,16728.3,4114.2
0400000US06,06,California,8710000US0690003,0690003,"California - ZCTA5 90003, California","ZCTA5 90003, California",66266,17127,3.55,0.00,3.55,18660.0,4822.8
0400000US06,06,California,8710000US0690004,0690004,"California - ZCTA5 90004, California","ZCTA5 90004, California",62180,24278,3.05,0.00,3.05,20399.6,7965.0
